V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'B'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'C'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'D'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'X'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'C'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'D'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('P', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'P', 'u', 'D'); T_star:[('A', 'X'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'B'), ('A', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'B'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'C'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'D'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'X'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'C'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'D'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('t', 'Q', 'u'); T_star:[('A', 'X'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'B'), ('A', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'B'), ('A', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'B'), ('A', 'X')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'B'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'C'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'D'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'X'), ('B', 'C')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'B'), ('B', 'D')]
V_star:['A', 'B']; S_minus:[('s', 'r'), ('r', 't'), ('C', 't'), ('D', 't'), ('r', 'u'), ('Q', 'u'), ('B', 's'), ('A', 's')]; S_plus:('C', 'u', 'D', 'Q'); T_star:[('A', 'C'), ('B', 'D')]
